id,area,year,slope,elev,distroad,distcapital,peatdepth,biomasscarbonruesch,soilcarbon,biomasscarbonbaccini,defor2000,defor2001,defor2002,defor2003,defor2004,defor2005,defor2006,defor2007,defor2008,defor2009,defor2000prop,defor2001prop,defor2002prop,defor2003prop,defor2004prop,defor2005prop,defor2006prop,defor2007prop,defor2008prop,defor2009prop,num_cells,defor_cumul,defor_cumul_avg,defor_cumul_prop,defor_cumul_prop_avg,defor2000propover_50p,defor2001propover_50p,defor2002propover_50p,defor2003propover_50p,defor2004propover_50p,defor2005propover_50p,defor2006propover_50p,defor2007propover_50p,defor2008propover_50p,defor2009propover_50p,count_over_50p,over_50p_normed,years_in_effect,degree,normed_high_defor_indic,normed_high_defor_indic_quantitative
11,67396,2006,1.846820283018868,73.8307216981132,44.76126981132074,136.94865094339622,198.73317264150944,288932.7745197624,317257.805956124,165925.7543546692,46.27558355192566,130.28043878426615,114.2327242093035,103.86666280010544,324.5896958239739,59.07363417682639,277.910997428924,367.34190291462346,143.29580801384995,272.3706429080645,0.0006866221074236,0.0019330589172097,0.0016949481305908,0.001541139871804,0.0048161566832449,0.0008765154338065,0.0041235532884581,0.0054505000729215,0.0021261767465999,0.0040413473041139,106,1060.919351265462,265.2298378163655,0.0157415774120936,0.0039353943530234,0,1,1,1,1,0,1,1,1,1,7,1.75,4,2,0.00250513879566135,0.00250513879566135
12,51223,2006,9.350733894736845,330.9757157894737,28.49912421052633,279.3681473684211,0.0,304157.6555480196,61544.87818193997,212002.3079787526,91.59857057499843,67.96443591882392,85.03135322794301,85.51335492887189,225.9605971013144,62.08727461335698,95.17008963682404,298.24713489950057,104.42581024657994,83.98774684317172,0.001788231274525,0.0013268343501712,0.0016600229043192,0.001669432772951,0.0044113112684011,0.0012120975853299,0.0018579561844644,0.0058225237666575,0.0020386508062116,0.0016396491194028,95,581.8307816260763,145.45769540651906,0.0113587798767365,0.0028396949691841,1,0,1,1,1,1,1,1,1,1,8,2.0,4,3,0.0014313208969191499,0.0014313208969191499
13,27732,2001,9.1315444,254.33169600000005,38.61611,227.70558,0.0,258920.50309169732,101080.89975038484,189130.76737303752,195.76340076485403,146.16782631364472,22.20619220548024,96.25170716210778,242.86860934866385,63.77930438793535,183.16587211717612,355.8470070679116,221.7399158192504,83.99658237195193,0.0070591158504562,0.0052707279068817,0.0008007425431083,0.0034707813054272,0.0087577026304869,0.0022998451026949,0.0066048561992346,0.0128316387951792,0.0079958140710821,0.0030288685407454,50,1416.0230167941222,157.33589075490244,0.0510609770948407,0.0056734418994267,1,1,0,1,1,1,1,1,1,1,8,0.8888888888888888,9,2,0.004307798901796422,0.004307798901796422
14,8194,2009,4.5124463157894725,115.82321578947368,20.201752631578948,321.45321052631584,0.0,302924.2299137541,32787.860146129155,210011.68145377983,60.80141084180287,61.75994588851351,34.049695525759496,28.42723038853227,4.217732757040934,0.7964141871771724,0.8971973885453909,1.265623212005261,2.296926139660499,19.83487825383276,0.0074202356409327,0.0075372157540289,0.0041554424610397,0.0034692739063378,0.0005147342881426,9.719479950905204e-05,0.0001094944335544,0.0001544573116921,0.0002803180546327,0.002420658805691,19,19.83487825383276,19.83487825383276,0.002420658805691,0.002420658805691,1,1,1,1,0,0,0,0,0,1,4,4.0,1,1,0.0011796459798101,0.0011796459798101
15,45818,2005,9.204199324324325,311.1159067567567,26.622745945945947,205.3633783783784,0.0,181492.8690583428,61530.7858847845,196395.94529767256,29.50900507207625,23.92480769058152,12.664248319709651,139.7912981130044,62.16328215065004,26.96009291644139,31.068613313393183,22.731823578566768,90.7363099970595,22.2457055601961,0.0006440483013679,0.0005221704939233,0.0002764033419116,0.0030510126612467,0.0013567436848105,0.0005884170613392,0.000678087505203,0.000496133038949,0.0019803638307446,0.0004855232781918,74,193.74254536565687,38.74850907313139,0.0042285247144278,0.0008457049428855,0,0,0,1,1,0,0,0,1,0,3,0.6,5,2,0.0,0.0
16,5379,2009,10.258393157894735,256.1593578947369,7.798248947368423,248.9897368421053,0.0,271547.6950059688,35282.33390842107,205605.99202210244,1.5958457384288658,1.441483363274221,1.829391174166881,1.3355828571977917,38.71415244794309,4.06841817562573,18.007896736393114,25.60068545851013,3.561686546797658,0.9116378441897212,0.0002966807470587,0.0002679835217092,0.0003400987496127,0.0002482957533366,0.0071972769005285,0.0007563521427078,0.0033478149723727,0.0047593763633593,0.0006621465972853,0.000169480915447,19,0.9116378441897212,0.9116378441897212,0.000169480915447,0.000169480915447,0,0,0,0,1,0,1,1,0,0,3,3.0,1,1,0.0,0.0
17,52749,2008,10.346888313253013,386.6936590361446,34.03484337349397,532.3661686746989,0.0,304626.6588646531,59171.99263936959,178776.25556108737,25.15996649267733,47.16117725103259,198.53638358210125,125.2794988236229,292.8019133775826,573.3787620264285,316.0899632779571,693.4222175329371,1507.966219369947,431.15774267070833,0.0004769752316191,0.0008940677027248,0.003763794263059,0.0023750118262644,0.0055508524024641,0.010869945629802,0.0059923403908691,0.0131456940896118,0.0285875792786583,0.0081737614489508,83,1939.123962040656,969.5619810203278,0.0367613407276091,0.0183806703638045,0,0,1,1,1,1,1,1,1,1,7,3.5,2,1,0.01665697630260235,0.01665697630260235
18,215691,2009,3.9991766860841422,96.76824563106796,10.159744553398058,154.0011812297735,1.7004443365695794,59627.02333982051,51134.85685253704,98131.515409006,618.7439592507533,1011.6846854546092,330.6100989889915,1110.617353947081,706.1737449116931,4969.677438337659,3375.6753233535296,4050.673081959867,4663.130332241724,3935.009982804144,0.0028686591431759,0.0046904353239338,0.0015327950586208,0.0051491131013676,0.0032740065413563,0.0230407269581839,0.015650515428801,0.0187799819276644,0.021619494240565,0.0182437374892978,309,3935.009982804144,3935.009982804144,0.0182437374892978,0.0182437374892978,1,1,1,1,1,1,1,1,1,1,9,9.0,1,3,0.017002724663416898,0.017002724663416898
19,39976,2007,14.367402361111113,310.8452222222222,25.16705277777778,416.9718055555556,0.0,295312.727317197,61452.29479919251,217340.4920530039,61.29383198899795,27.715147848436875,11.216484769074096,5.918404709497093,4.185425509035603,1.5128614766736526,2.7034508715845136,7.066842071864035,18.80728659632,11.114999685164124,0.0015332657591804,0.0006932946730147,0.0002805804675073,0.0001480489471056,0.0001046984567999,3.784424346291907e-05,6.762684789835185e-05,0.0001767771180674,0.0004704644435741,0.0002780418172194,72,36.98912835334816,12.329709451116052,0.000925283378861,0.0003084277929536,1,0,0,0,0,0,0,0,0,0,1,0.3333333333333333,3,0,0.0,0.0
20,35906,2001,8.626169833333332,243.9741116666667,22.23472,182.90138333333337,0.0,221584.1151140345,61543.114556256885,211370.4099884744,33.28743949511421,73.18749570958433,59.42635802133313,44.68753680183804,24.39331748892272,23.81932037786816,2.2466698546706603,29.83753987513684,14.932058992873117,5.319431335751712,0.0009270717845238,0.0020383082412294,0.0016550536963552,0.0012445701777373,0.0006793660527188,0.0006633799470246,6.257087547124882e-05,0.00083099036025,0.0004158652869401,0.0001481488145644,60,277.8497284579787,30.87219205088652,0.0077382534522915,0.0008598059391435,1,1,1,0,0,0,0,0,0,0,3,0.3333333333333333,9,2,0.0001432488988545222,0.0001432488988545222
