id,area,slope,elev,distroad,distcapital,peatdepth,biomasscarbonruesch,soilcarbon,biomasscarbonbaccini,defor2000,defor2001,defor2002,defor2003,defor2004,defor2005,defor2006,defor2007,defor2008,defor2009,defor2000prop,defor2001prop,defor2002prop,defor2003prop,defor2004prop,defor2005prop,defor2006prop,defor2007prop,defor2008prop,defor2009prop,num_cells
159,672,18.751166666666666,743.7040000000001,47.03703333333333,219.898,0.0,307649.8105550975,61529.9621110195,208670.6673241293,0.0,0.056494947784052216,0.0,0.0,0.0,0.10205018614159272,0.0,0.0,0.07380271224956662,0.0,0.0,8.406986277388723e-05,0.0,0.0,0.0,0.00015186039604403678,0.0,0.0,0.00010982546465709318,0.0,3
160,6,8.149083333333333,240.00033333333332,2.1574079999999998,302.50933333333336,0.0,275717.43925437285,61538.47733252986,216957.74510491337,0.00034202189604840407,0.004760105494182647,0.00013154688309554002,2.6309376619108003e-05,2.6309376619108003e-05,0.0,0.0003145560818021662,0.00010523750647643201,0.002558905564298601,0.00037294282533681335,5.700364934140068e-05,0.0007933509156971078,2.1924480515923335e-05,4.384896103184667e-06,4.384896103184667e-06,0.0,5.242601363369436e-05,1.7539584412738667e-05,0.0004264842607164335,6.215713755613556e-05,3
161,8,17.5751,393.194,4.88889,305.472,0.0,307692.4790087253,61538.49580174506,216068.49637057155,0.0,0.0007678349187376512,0.0007678349187376512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59793648422064e-05,9.59793648422064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
162,40896,4.645702142857142,215.48054571428568,4.168254242857143,212.33289999999997,0.0,266136.56987875985,49240.884291015274,199631.86958867076,64.26853261664343,138.9682072310789,36.23927696611805,110.38648923669564,147.11413053009292,78.35524533545482,155.6684429302833,216.73189079183123,168.77522979001282,270.8819478707506,0.001571511458740303,0.0033980880093671486,0.0008861325549226831,0.0026992001476109067,0.00359727431851753,0.0019159635498692984,0.0038064466678962077,0.005299586531490396,0.004126937348151722,0.006623678302786351,70
163,67628,8.5680434,280.256679,17.694443460000002,192.40663000000004,0.0,152351.08076437953,61533.952372936066,172876.30472183938,64.30512759205648,170.3799671226666,135.84563711348792,221.57596010410379,53.313247348123035,25.53706948489245,6.744515044661692,12.105238307180153,15.111010655679674,7.949973789224176,0.0009508654343179819,0.002519370188718676,0.0020087188311570343,0.0032763938029234012,0.0007883309775259217,0.00037761089319353596,9.972962448485378e-05,0.00017899743164340442,0.00022344311018630855,0.00011755447136133223,100
164,33051,4.813936486486486,210.14945135135136,7.250643945945946,245.27848648648643,0.0,281520.90043352626,45875.36249814252,190904.6880794037,27.807192572563935,34.160163268553156,14.649021082203552,31.443525992357426,67.92617401457305,81.4361641557254,35.86172341326448,28.29031209343955,80.78873927451876,64.32890975732724,0.0008413419434378365,0.0010335591440063282,0.00044322474606527947,0.0009513638314228745,0.0020551927026284545,0.0024639546203057516,0.0010850420082074515,0.0008559593383994297,0.002444365957898967,0.0019463529017980465,37
165,55168,10.646021696428571,311.95539107142855,26.30010107142857,185.4008125,0.0,159562.94956303897,61536.26533982341,177657.8295019881,13.258360286600166,68.11712642955108,32.8415306670776,22.232975467224744,57.51027668316009,13.771895298073755,14.594437509343496,10.26269828621464,25.22672544954975,2.981237961627708,0.00024032700635513642,0.001234721694271155,0.0005953003673701711,0.0004030049207371074,0.001042457161455193,0.0002496355731234367,0.0002645453434843296,0.0001860262885407236,0.0004572709804515253,5.403926119539784e-05,112
166,101497,4.994075353383458,203.24852631578946,4.6194661203007525,232.20193233082708,0.0,189085.98525734898,49228.08654920457,190313.77621123695,225.96331677707616,200.62075427756793,66.5892584386924,156.4384189211005,149.215154241223,121.04195119190236,68.92287375991113,22.69215640177861,161.73503577203613,102.21859869750816,0.002226305376287734,0.001976617577638432,0.0006560711985447097,0.001541310767028587,0.0014701434943025212,0.0011925667871158987,0.0006790631620630278,0.00022357465148505485,0.0015934957266917852,0.0010071095569081662,133
167,8,17.5751,393.194,4.88889,305.472,0.0,307692.4790087253,61538.49580174506,216068.49637057155,0.0,0.0007678349187376512,0.0007678349187376512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59793648422064e-05,9.59793648422064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
168,27552,9.943450624999999,339.677625,14.019099791666667,321.26962499999996,0.0,274149.85729667376,61540.687172367776,212027.21685929853,27.249019584731098,18.302779453933432,3.0232368858826715,4.269036588844906,44.37845344939836,1.4270992494509738,85.70706395034631,56.077045858716225,14.118402223742454,24.280014746601655,0.000989003324068347,0.0006642994865684317,0.00010972840032965562,0.0001549447077832791,0.0016107162256605095,5.179657554627518e-05,0.0031107383837959608,0.002035316705092778,0.0005124274906991308,0.0008812432762268312,48
