FID,OBJECTID_1,OBJECTID_2,OBJECTID,country,name,company,group_comp,group_coun,legal_term,status,province,area_ha,source,last_updat,SHAPE_Leng,gfwid,Shape_Le_1,Shape_Le_2,Shape_Le_3,Shape_Area
29165,29166,29213,29213,IDN,PT.DAYA SAKTI KRIDA UNGGUL, , , ,099/Kpts-II/89, , ,32699,Indonesia Ministry of Forestry,2014,112908.941369,7e860282-988a-47fc-9a79-0ffdbe740fe5,1.01426424824,1.01426424767,1.01426424767,0.0263864128245
29166,29167,29214,29214,IDN,PT.MITRA PERDANA PALANGKA, , , ,397/Menhut-II/2005, , ,56800,Indonesia Ministry of Forestry,2014,134445.340403,aa9d7024-b14e-4f81-8d28-a5a5175d09b4,1.20773649649,1.2077364966,1.2077364966,0.0458349689243
29167,29168,29215,29215,IDN,PT.FORTUNA CIPTA SEJAHTERA, , , ,132/Menhut-II/2006, , ,23139,Indonesia Ministry of Forestry,2014,124100.631907,82edab35-f174-479f-aa36-b7fb2e929de8,1.11480908924,1.11480909486,1.11480909486,0.0186725754837
29168,29169,29216,29216,IDN,PT.MENORAH LOGGINGINDO, , , ,516/Menhut-II/05, , ,56302,Indonesia Ministry of Forestry,2014,247202.035978,1532834f-0cd4-4506-8278-eba80a0cdd6a,2.22064966226,2.22064966174,2.22064966174,0.0454335201797
29169,29170,29217,29217,IDN,PT.KARYA DELTA PERMAI, , , ,SK. 429/Menhut-II/04, , ,79407,Indonesia Ministry of Forestry,2014,230777.344395,28c9d6eb-2dd6-4099-bf4f-1827611a290c,2.0730945124,2.07309451305,2.07309451305,0.0640782082044
29170,29171,29218,29218,IDN,PT.GUNUNG MERANTI, , , ,941/Kpts-VI/99, , ,90554,Indonesia Ministry of Forestry,2014,233800.204456,7d0345d3-c469-4505-8252-16f6af30670f,2.10022067119,2.10022067292,2.10022067292,0.0730716305515
29171,29172,29219,29219,IDN,PT.KAYU WAJA, , , ,81/Kpts-II/2000, , ,39629,Indonesia Ministry of Forestry,2014,102055.794801,f2407395-cea9-413b-8e2d-fc172b0efad9,0.916717879712,0.916717878098,0.916717878098,0.0319747678646
29172,29173,29220,29220,IDN,PT.BERKAT CAHAYA TIMBER, , , ,114/Kpts-II/2000, , ,19773,Indonesia Ministry of Forestry,2014,135216.222066,76044603-d7c7-411f-955b-4150fea8b4bd,1.21459174805,1.21459174725,1.21459174725,0.015952821149
29173,29174,29221,29221,IDN,PT.SARI BUMI KUSUMA (UNIT I DAN II), , , ,201/Kpts-II/1998, , ,60894,Indonesia Ministry of Forestry,2014,210641.991603,85fed8ab-9078-4da7-97d3-853ce0f5c25d,1.89174567492,1.89174567494,1.89174567494,0.0491179770639
29174,29175,29222,29222,IDN,PT.SARANA PIRANTI UTAMA, , , ,104/Kpts-II/2001, , ,52620,Indonesia Ministry of Forestry,2014,111155.486451,7a2ac02b-dea4-443d-8483-eba10e81aaa1,0.998473906008,0.998473905299,0.9984739053,0.0424590461882
29175,29176,29223,29223,IDN,PT.GAUNG SATYA GRAHA AGRINDO, , , ,102/Kpts-II/2001, , ,50032,Indonesia Ministry of Forestry,2014,154610.005784,c6890d47-b9c3-47de-a6f8-e0f825552c88,1.38880553162,1.38880553339,1.38880553339,0.0403702387744
29176,29177,29224,29224,IDN,PT.SARI BUMI KUSUMA (UNIT I DAN II), , , ,201/Kpts-II/1998, , ,144684,Indonesia Ministry of Forestry,2014,314430.080845,12c279de-663b-476a-87d2-0fdf30a41610,2.82434839458,2.82434839245,2.82434839245,0.116741597897
29177,29178,29225,29225,IDN,PT.SIKATAN WANA RAYA, , , ,107/Kpts-II/2000, , ,48976,Indonesia Ministry of Forestry,2014,131091.907622,38daca76-4a3d-4457-86f2-6dd424bae436,1.1775683209,1.17756832179,1.17756832179,0.0395190093552
29178,29179,29226,29226,IDN,PT.PANDU JAYA GEMILANG AGUNG, , , ,111/Kpts-II/00, , ,47077,Indonesia Ministry of Forestry,2014,129054.794227,0d65ec92-28fc-41eb-93b9-d2d8bc938aea,1.1592797263,1.15927972609,1.15927972609,0.0379851854018
29179,29180,29227,29227,IDN,PT.GRAHA SENTOSA PERMAI, , , ,381/Menhut-II/05, , ,45568,Indonesia Ministry of Forestry,2014,206426.816124,fc8a9d73-9624-4590-bfac-b396090bbc2f,1.85426514338,1.85426514449,1.85426514449,0.0367669084543
29180,29181,29228,29228,IDN,PT.BINA MULTI ALAM LESTARI, , , ,137/Menhut-II/2006, , ,35009,Indonesia Ministry of Forestry,2014,96781.3950015,11ac57a6-1010-44ac-ad50-d687a469fdfb,0.869337851649,0.869337851506,0.869337851506,0.0282478593799
29181,29182,29229,29229,IDN,PT.DWIMA JAYA UTAMA, , , ,267/Menhut-II/2004, , ,73444,Indonesia Ministry of Forestry,2014,178467.974028,0527f2ac-5907-4050-a9d8-7e31e2ed4b5b,1.60306058657,1.60306058461,1.60306058461,0.0592574777011
29182,29183,29230,29230,IDN,PT.ERNA JULIAWATI, , , ,15/Kpts-IV/1999, , ,181465,Indonesia Ministry of Forestry,2014,308831.159111,88059f24-d53e-46ae-8aef-5f05deb6bf5f,2.77397663753,2.77397664507,2.77397664507,0.14640971115
29183,29184,29231,29231,IDN,PT.MERANTI MUSTIKA, , , ,1001/Kpts-VI/99, , ,59267,Indonesia Ministry of Forestry,2014,225899.269215,86782042-83c1-4035-a081-edc9077d3439,2.02906274272,2.02906274473,2.02906274472,0.0478181932253
29184,29185,29232,29232,IDN,PT.TINGANG KARYA MANDIRI, , , ,73/Kpts-II/00, , ,42476,Indonesia Ministry of Forestry,2014,99544.5416308,0782d272-a9db-4bf8-8d65-42ce30ef722b,0.89408844557,0.894088446724,0.894088446724,0.0342638323116
29185,29186,29233,29233,IDN,PT.TRISETIA INTIGA, , , ,113/Menhut-II/2006, , ,79396,Indonesia Ministry of Forestry,2014,237246.840032,3c739a54-3780-48d7-b957-6a477c216d4d,2.13065574519,2.13065574043,2.13065574043,0.0640399897937
29186,29187,29234,29234,IDN,PT.TRISETIA INTIGA, , , ,113/Menhut-II/2006, , ,19823,Indonesia Ministry of Forestry,2014,128270.581819,49cd6dc5-f709-4da7-b59b-1f86f5b0a95d,1.15181498437,1.15181497947,1.15181497947,0.0159871663922
29187,29188,29235,29235,IDN,PT.HUTAN DOMAS RAYA, , , ,78/Kpts-II/00, , ,112119,Indonesia Ministry of Forestry,2014,158542.335472,f21b5a46-290b-4cf4-874f-b876ea047cf3,1.4241806439,1.42418064468,1.42418064468,0.0904730965201
29188,29189,29236,29236,IDN,PT.CARUS INDONESIA, , , ,94/Kpts-II/2000, , ,72563,Indonesia Ministry of Forestry,2014,218260.043824,0402b27c-60ed-434f-82ce-1b986b294c07,1.96058790728,1.96058790743,1.96058790743,0.05855280036
29189,29190,29237,29237,IDN,PT.PRABA NUGRAHA TECH., , , ,939/Kpts-VI/1999, , ,41746,Indonesia Ministry of Forestry,2014,132527.929576,97764e2e-875c-49ed-8694-35aa3107b4d6,1.19047495589,1.19047495308,1.19047495308,0.0336857427739
29190,29191,29238,29238,IDN,PT.ERYTHRINA NUGRAHA MEGAH, , , ,72/Kpts-II/2001, , ,42333,Indonesia Ministry of Forestry,2014,85404.8662909,ccafd3ec-0710-44a7-af77-bb1e0b5fce43,0.767081820182,0.767081820137,0.767081820136,0.0341487329029
29191,29192,29239,29239,IDN,PT.BERKAT CAHAYA TIMBER, , , ,114/Kpts-II/2000, , ,120423,Indonesia Ministry of Forestry,2014,266341.905001,32356338-e014-44e2-b290-66ce67f103b0,2.39200535339,2.39200534802,2.39200534802,0.0971384554385
29192,29193,29240,29240,IDN,PT.BINA DAYA TETRA, , , ,377/Kpts-IV/87, , ,107427,Indonesia Ministry of Forestry,2014,150223.650357,eeb27453-e655-4226-ba9f-7cb1d1c0c035,1.34900172054,1.34900172064,1.34900172064,0.0866330357556
29193,29194,29241,29241,IDN,PT.TRISETIA CITAGRAHA, , , ,395/Menhut-II/2006, , ,27187,Indonesia Ministry of Forestry,2014,122984.45518,04a79a47-1042-4c5e-ac91-94e0bc0faec0,1.10460804985,1.10460804785,1.10460804785,0.0219320848028
29194,29195,29242,29242,IDN,KOP.MANDAU TALAWANG, , , ,21/Menhut-II/2005, , ,47565,Indonesia Ministry of Forestry,2014,111417.088719,88aa8fcb-8b94-4578-b8e2-74426807c4d8,1.00078776592,1.00078776518,1.00078776518,0.0383765882374
29195,29196,29243,29243,IDN,PT.DWIMA JAYA UTAMA, , , ,267/Menhut-II/2004, , ,57494,Indonesia Ministry of Forestry,2014,130328.914768,d76ee780-2010-4295-93e3-4aa4d16c4d6d,1.17069147883,1.17069147854,1.17069147854,0.0463872372746
29196,29197,29244,29244,IDN,PT.HASIL KALIMANTAN JAYA, , , ,116/Kpts-II/2000, , ,51833,Indonesia Ministry of Forestry,2014,237299.65945,7768884a-c470-4833-9642-1a432ce71354,2.13133652463,2.13133652525,2.13133652525,0.0418154751853
29197,29198,29245,29245,IDN,PT.YAKIN TIMBER JAYA, , , ,102/Kpts-II/00, , ,29174,Indonesia Ministry of Forestry,2014,122173.954203,a325a19f-f69d-48d3-a975-757884c2b0d1,1.0974154464,1.09741544836,1.09741544836,0.0235382691718
29198,29199,29246,29246,IDN,PT.INDEXIM UTAMA CORP., , , ,941/Kpts-VI/1999, , ,51148,Indonesia Ministry of Forestry,2014,151799.118857,b609dad0-5b1c-46f2-81d0-d2ae09d92a85,1.36346896055,1.36346896248,1.36346896248,0.0412652920736
29199,29200,29247,29247,IDN,PT.SINDO LUMBER, , , ,605/Kpts-II/83, , ,90296,Indonesia Ministry of Forestry,2014,232986.560359,cf99e979-c8eb-482d-bcae-fd1315a0d7ef,2.09272971464,2.09272971836,2.09272971836,0.0728450824099
29200,29201,29248,29248,IDN,PT.RINANDA INTI LESTARI, , , ,103/Kpts-II/2001, , ,41779,Indonesia Ministry of Forestry,2014,87556.5075833,2f99806a-6f7b-4bf3-aecc-78da24b66109,0.786425605478,0.786425603524,0.786425603524,0.0337057017008
29201,29202,29249,29249,IDN,PT.HUTAN MULYA, , , ,265/Menhut-II/04, , ,52067,Indonesia Ministry of Forestry,2014,162328.113171,f64738c9-8938-46c4-aae6-dcf221e2a9e2,1.4580795125,1.45807951296,1.45807951296,0.0420064260979
29202,29203,29250,29250,IDN,PT.SARMIENTO PARAKANCA Tbr, , , ,266/Menhut-II/04, , ,219603,Indonesia Ministry of Forestry,2014,262010.868678,41dec667-a65a-4626-a4af-1f70ec6b87a7,2.3531454085,2.35314540639,2.35314540639,0.177147794486
29203,29204,29251,29251,IDN,PT.KAYU TRIBUANA RAMA, , , ,1002/Kpts-VI/99, , ,114756,Indonesia Ministry of Forestry,2014,189228.454671,1a5b3e28-811a-47cb-b0f0-a615132a8e1b,1.6996284539,1.69962845023,1.69962845023,0.0925786803832
29204,29205,29252,29252,IDN,PT.ANUGRAH ALAM BARITO, , , ,191/Menhut-II/2006, , ,39558,Indonesia Ministry of Forestry,2014,104247.45681,2694f119-968c-4f59-8819-bf27a9096b06,0.936385490143,0.936385490659,0.936385490659,0.0319136292388
29205,29206,29253,29253,IDN,PT.MARUWAI TIMBER (BARITO PASIFIC TIMBER IV), , , ,096/Kpts-II/89, , ,18403,Indonesia Ministry of Forestry,2014,64998.7570592,76241536-bad3-422e-b9f5-90fd0987e25e,0.583883879916,0.583883879126,0.583883879126,0.0148496394957
29206,29207,29254,29254,IDN,PT.MARAGADAYA WOOD WORK, , , ,818/Kpts-II/92, , ,19722,Indonesia Ministry of Forestry,2014,76751.1575719,e9b9f2b0-2bb7-470d-9e2c-45c6fd8af3e2,0.689459267431,0.689459268073,0.689459268074,0.0159148097835
29207,29208,29255,29255,IDN,PT.MARAGADAYA WOOD WORK, , , ,818/Kpts-II/92, , ,45858,Indonesia Ministry of Forestry,2014,106972.856017,b2c9fa5d-c08d-45c4-824f-7cc607f00563,0.960942864164,0.960942863545,0.960942863545,0.0370049984548
29208,29209,29256,29256,IDN,PT.MITRA PERDANA PALANGKA, , , ,397/Menhut-II/05, , ,0,Indonesia Ministry of Forestry,2014,6.26167540268,f41fcabc-56aa-4880-a2d1-79549fe473f9,5.62491281389e-05,5.62504748119e-05,5.62504751344e-05,1.35975727658e-10
29209,29210,29257,29257,IDN,PT.MARUWAI TIMBER (BARITO PASIFIC TIMBER IV), , , ,096/Kpts-II/89, , ,5036,Indonesia Ministry of Forestry,2014,35721.9112164,6387bf28-235b-45e9-a199-cf523f14ddcd,0.320892693378,0.320892694188,0.320892694188,0.00406353042538
29210,29211,29258,29258,IDN,PT.MARUWAI TIMBER (BARITO PASIFIC TIMBER IV), , , ,096/Kpts-II/89, , ,97368,Indonesia Ministry of Forestry,2014,296348.524963,1ec67452-5f72-423d-8b68-c4ca570be6be,2.66214094636,2.66214094756,2.66214094756,0.0785728912959
29211,29212,29259,29259,IDN,PT.KAYU ARA JAYA RAYA, , , ,850/Kpts-VI/1999, , ,88512,Indonesia Ministry of Forestry,2014,178041.577007,79fb8dfd-d3dd-434c-9a52-1a378019d82e,1.59937342022,1.5993734202,1.5993734202,0.0714262639761
29212,29213,29260,29260,IDN,PT.TUNGGAL PAMENANG, , , ,30/Menhut-II/2006, , ,101263,Indonesia Ministry of Forestry,2014,310676.525109,10e27b26-0094-46c4-87f6-cf3a99c1aa25,2.79083433496,2.79083433286,2.79083433286,0.0817157093289
29213,29214,29261,29261,IDN,PT.FORTUNA CIPTA SEJAHTERA, , , ,132/Menhut-II/2006, , ,19563,Indonesia Ministry of Forestry,2014,90027.186093,dd5dc5a0-0e33-4fd8-ae79-d238f68009a0,0.80872581652,0.808725813153,0.808725813154,0.0157863846135
29214,29215,29262,29262,IDN,PT.DAYA SAKTI KRIDA UNGGUL, , , ,099/Kpts-II/89, , ,13782,Indonesia Ministry of Forestry,2014,71859.7774624,fd098755-1e6c-4368-b697-940047ef554e,0.645526768936,0.645526766761,0.645526766761,0.011121801789
29215,29216,29263,29263,IDN,PT.KAYU ARA JAYA RAYA, , , ,850/Kpts-VI/1999, , ,7,Indonesia Ministry of Forestry,2014,1246.8061866,0263d9ae-0e56-4264-aa11-d80a440c9f6c,0.0112002450978,0.0112002449414,0.0112002449417,5.64417203165e-06
29216,29217,29264,29264,IDN,PT.PEMANTANG ABADITAMA, , , ,942/Kpts-VI/1999, , ,54923,Indonesia Ministry of Forestry,2014,148585.491292,4802ad85-b23e-4dfd-b5b3-91a108b375ac,1.33475928185,1.33475928006,1.33475928006,0.0443207040741
29217,29218,29265,29265,IDN,KOP.PUTRA DAYAK JAYA, , , ,136/Menhut-II/2006, , ,24882,Indonesia Ministry of Forestry,2014,112868.75159,aa5a6fb9-c7cc-4697-b706-ffcd62358e24,1.01391397699,1.01391397952,1.01391397952,0.0200790559841
29218,29219,29266,29266,IDN,KOP.PUTRA DAYAK JAYA, , , ,136/Menhut-II/2006, , ,32,Indonesia Ministry of Forestry,2014,3531.54696145,84b522a7-9c8b-4415-b442-8119dc6e19a6,0.0317244148229,0.0317244147932,0.0317244147934,2.5720437548e-05
29219,29220,29267,29267,IDN,KOP.PUTRA DAYAK JAYA, , , ,136/Menhut-II/2006, , ,262,Indonesia Ministry of Forestry,2014,10823.3455825,9d31ace2-fba4-4d6f-90dc-b469fd2802e8,0.097227724106,0.0972277244682,0.0972277244684,0.000211420006569
29220,29221,29268,29268,IDN,PT.FORTUNA CIPTA SEJAHTERA, , , ,132/Menhut-II/2006, , ,11163,Indonesia Ministry of Forestry,2014,46295.8441288,82f8ee22-9beb-4cd2-bb70-2ee89973130d,0.415879782061,0.415879781369,0.415879781369,0.00900814331346
29221,29222,29269,29269,IDN,PT.LESTARI DAMAI INDAH Tbr, , , ,133/Menhut-II/2006, , ,11249,Indonesia Ministry of Forestry,2014,47190.5769224,2a3722dc-06c0-4107-8206-f8519dde5399,0.423918133347,0.423918133661,0.423918133661,0.00907769583637
29222,29223,29270,29270,IDN,PT.KAHAYAN TERANG ABADI, , , ,75/Kpts-II/00, , ,39376,Indonesia Ministry of Forestry,2014,160446.616205,f18ceb56-d664-41a9-8a4b-1e3df556a47c,1.44128418495,1.44128418644,1.44128418644,0.0317746515382
29223,29224,29271,29271,IDN,PT.RATU MIRI, , , ,127/Kpts-IV/88, , ,35719,Indonesia Ministry of Forestry,2014,144639.077557,1c0631bd-253a-4b83-9a5f-3455f6c0934f,1.29930212023,1.29930211708,1.29930211708,0.0288239818235
29224,29225,29272,29272,IDN,KOP.PUTRA DAYAK JAYA, , , ,136/Menhut-II/2006, , ,2,Indonesia Ministry of Forestry,2014,1104.13362285,92e071cd-4a43-4090-967d-6c9d0b3de1a0,0.00991857891691,0.00991857744439,0.00991857744447,1.3776870883e-06
29225,29226,29273,29273,IDN,PT.KAHAYAN TERANG ABADI, , , ,75/Kpts-II/00, , ,13,Indonesia Ministry of Forestry,2014,1523.11651775,65fbcfcd-af9b-4dc4-bc32-5d25ee1f6802,0.0136823505759,0.0136823504519,0.0136823504517,1.06691939449e-05
29226,29227,29274,29274,IDN,KOP.PUTRA DAYAK JAYA, , , ,136/Menhut-II/2006, , ,2,Indonesia Ministry of Forestry,2014,638.124377352,6873e8f1-1796-47a5-abd9-af05c076a67b,0.00573235271795,0.00573235279324,0.00573235279336,1.39236007076e-06
29227,29228,29275,29275,IDN,PT.KAHAYAN TERANG ABADI, , , ,75/Kpts-II/00, , ,4,Indonesia Ministry of Forestry,2014,1071.83579947,e5bcb43e-e96f-497a-ab55-ddaacee3612f,0.00962842986493,0.00962843018032,0.00962843018024,3.57025929852e-06
29228,29229,29276,29276,IDN,PT.KAHAYAN TERANG ABADI, , , ,75/Kpts-II/00, , ,1320,Indonesia Ministry of Forestry,2014,18927.8231443,b1443b84-7793-428c-b5b3-2897a483214a,0.170029919359,0.170029919578,0.170029919578,0.00106512032325
29229,29230,29277,29277,IDN,PT.WANA INTI KAHURIPAN INTIGA, , , ,393/Menhut-II/2005, , ,92236,Indonesia Ministry of Forestry,2014,190341.497531,752b9906-561c-4f61-b9fe-357a7f2e5609,1.70983648171,1.70983647943,1.70983647943,0.0744295130677
