FID,OBJECTID_1,OBJECTID_2,OBJECTID,country,name,company,group_comp,group_coun,legal_term,status,province,area_ha,source,last_updat,SHAPE_Leng,gfwid,Shape_Le_1,Shape_Le_2,Shape_Le_3,Shape_Area
29194,29195,29242,29242,IDN,KOP.MANDAU TALAWANG, , , ,21/Menhut-II/2005, , ,47565,Indonesia Ministry of Forestry,2014,111417.0887,88aa8fcb-8b94-4578-b8e2-74426807c4d8,1.000787766,1.000787765,1.000787765,0.038376588
29195,29196,29243,29243,IDN,PT.DWIMA JAYA UTAMA, , , ,267/Menhut-II/2004, , ,57494,Indonesia Ministry of Forestry,2014,130328.9148,d76ee780-2010-4295-93e3-4aa4d16c4d6d,1.170691479,1.170691479,1.170691479,0.046387237
29196,29197,29244,29244,IDN,PT.HASIL KALIMANTAN JAYA, , , ,116/Kpts-II/2000, , ,51833,Indonesia Ministry of Forestry,2014,237299.6595,7768884a-c470-4833-9642-1a432ce71354,2.131336525,2.131336525,2.131336525,0.041815475
29197,29198,29245,29245,IDN,PT.YAKIN TIMBER JAYA, , , ,102/Kpts-II/00, , ,29174,Indonesia Ministry of Forestry,2014,122173.9542,a325a19f-f69d-48d3-a975-757884c2b0d1,1.097415446,1.097415448,1.097415448,0.023538269
29198,29199,29246,29246,IDN,PT.INDEXIM UTAMA CORP., , , ,941/Kpts-VI/1999, , ,51148,Indonesia Ministry of Forestry,2014,151799.1189,b609dad0-5b1c-46f2-81d0-d2ae09d92a85,1.363468961,1.363468962,1.363468962,0.041265292
29199,29200,29247,29247,IDN,PT.SINDO LUMBER, , , ,605/Kpts-II/83, , ,90296,Indonesia Ministry of Forestry,2014,232986.5604,cf99e979-c8eb-482d-bcae-fd1315a0d7ef,2.092729715,2.092729718,2.092729718,0.072845082
29200,29201,29248,29248,IDN,PT.RINANDA INTI LESTARI, , , ,103/Kpts-II/2001, , ,41779,Indonesia Ministry of Forestry,2014,87556.50758,2f99806a-6f7b-4bf3-aecc-78da24b66109,0.786425605,0.786425604,0.786425604,0.033705702
29201,29202,29249,29249,IDN,PT.HUTAN MULYA, , , ,265/Menhut-II/04, , ,52067,Indonesia Ministry of Forestry,2014,162328.1132,f64738c9-8938-46c4-aae6-dcf221e2a9e2,1.458079513,1.458079513,1.458079513,0.042006426
29202,29203,29250,29250,IDN,PT.SARMIENTO PARAKANCA Tbr, , , ,266/Menhut-II/04, , ,219603,Indonesia Ministry of Forestry,2014,262010.8687,41dec667-a65a-4626-a4af-1f70ec6b87a7,2.353145409,2.353145406,2.353145406,0.177147794
29203,29204,29251,29251,IDN,PT.KAYU TRIBUANA RAMA, , , ,1002/Kpts-VI/99, , ,114756,Indonesia Ministry of Forestry,2014,189228.4547,1a5b3e28-811a-47cb-b0f0-a615132a8e1b,1.699628454,1.69962845,1.69962845,0.09257868
29204,29205,29252,29252,IDN,PT.ANUGRAH ALAM BARITO, , , ,191/Menhut-II/2006, , ,39558,Indonesia Ministry of Forestry,2014,104247.4568,2694f119-968c-4f59-8819-bf27a9096b06,0.93638549,0.936385491,0.936385491,0.031913629
29205,29206,29253,29253,IDN,PT.MARUWAI TIMBER (BARITO PASIFIC TIMBER IV), , , ,096/Kpts-II/89, , ,18403,Indonesia Ministry of Forestry,2014,64998.75706,76241536-bad3-422e-b9f5-90fd0987e25e,0.58388388,0.583883879,0.583883879,0.014849639
29206,29207,29254,29254,IDN,PT.MARAGADAYA WOOD WORK, , , ,818/Kpts-II/92, , ,19722,Indonesia Ministry of Forestry,2014,76751.15757,e9b9f2b0-2bb7-470d-9e2c-45c6fd8af3e2,0.689459267,0.689459268,0.689459268,0.01591481
29207,29208,29255,29255,IDN,PT.MARAGADAYA WOOD WORK, , , ,818/Kpts-II/92, , ,45858,Indonesia Ministry of Forestry,2014,106972.856,b2c9fa5d-c08d-45c4-824f-7cc607f00563,0.960942864,0.960942864,0.960942864,0.037004998
29208,29209,29256,29256,IDN,PT.MITRA PERDANA PALANGKA, , , ,397/Menhut-II/05, , ,0,Indonesia Ministry of Forestry,2014,6.261675403,f41fcabc-56aa-4880-a2d1-79549fe473f9,5.62E-05,5.63E-05,5.63E-05,1.36E-10
29209,29210,29257,29257,IDN,PT.MARUWAI TIMBER (BARITO PASIFIC TIMBER IV), , , ,096/Kpts-II/89, , ,5036,Indonesia Ministry of Forestry,2014,35721.91122,6387bf28-235b-45e9-a199-cf523f14ddcd,0.320892693,0.320892694,0.320892694,0.00406353
29210,29211,29258,29258,IDN,PT.MARUWAI TIMBER (BARITO PASIFIC TIMBER IV), , , ,096/Kpts-II/89, , ,97368,Indonesia Ministry of Forestry,2014,296348.525,1ec67452-5f72-423d-8b68-c4ca570be6be,2.662140946,2.662140948,2.662140948,0.078572891
29211,29212,29259,29259,IDN,PT.KAYU ARA JAYA RAYA, , , ,850/Kpts-VI/1999, , ,88512,Indonesia Ministry of Forestry,2014,178041.577,79fb8dfd-d3dd-434c-9a52-1a378019d82e,1.59937342,1.59937342,1.59937342,0.071426264
29212,29213,29260,29260,IDN,PT.TUNGGAL PAMENANG, , , ,30/Menhut-II/2006, , ,101263,Indonesia Ministry of Forestry,2014,310676.5251,10e27b26-0094-46c4-87f6-cf3a99c1aa25,2.790834335,2.790834333,2.790834333,0.081715709
29213,29214,29261,29261,IDN,PT.FORTUNA CIPTA SEJAHTERA, , , ,132/Menhut-II/2006, , ,19563,Indonesia Ministry of Forestry,2014,90027.18609,dd5dc5a0-0e33-4fd8-ae79-d238f68009a0,0.808725817,0.808725813,0.808725813,0.015786385
29214,29215,29262,29262,IDN,PT.DAYA SAKTI KRIDA UNGGUL, , , ,099/Kpts-II/89, , ,13782,Indonesia Ministry of Forestry,2014,71859.77746,fd098755-1e6c-4368-b697-940047ef554e,0.645526769,0.645526767,0.645526767,0.011121802
29215,29216,29263,29263,IDN,PT.KAYU ARA JAYA RAYA, , , ,850/Kpts-VI/1999, , ,7,Indonesia Ministry of Forestry,2014,1246.806187,0263d9ae-0e56-4264-aa11-d80a440c9f6c,0.011200245,0.011200245,0.011200245,5.64E-06
29216,29217,29264,29264,IDN,PT.PEMANTANG ABADITAMA, , , ,942/Kpts-VI/1999, , ,54923,Indonesia Ministry of Forestry,2014,148585.4913,4802ad85-b23e-4dfd-b5b3-91a108b375ac,1.334759282,1.33475928,1.33475928,0.044320704
29217,29218,29265,29265,IDN,KOP.PUTRA DAYAK JAYA, , , ,136/Menhut-II/2006, , ,24882,Indonesia Ministry of Forestry,2014,112868.7516,aa5a6fb9-c7cc-4697-b706-ffcd62358e24,1.013913977,1.01391398,1.01391398,0.020079056
29218,29219,29266,29266,IDN,KOP.PUTRA DAYAK JAYA, , , ,136/Menhut-II/2006, , ,32,Indonesia Ministry of Forestry,2014,3531.546961,84b522a7-9c8b-4415-b442-8119dc6e19a6,0.031724415,0.031724415,0.031724415,2.57E-05
29219,29220,29267,29267,IDN,KOP.PUTRA DAYAK JAYA, , , ,136/Menhut-II/2006, , ,262,Indonesia Ministry of Forestry,2014,10823.34558,9d31ace2-fba4-4d6f-90dc-b469fd2802e8,0.097227724,0.097227724,0.097227724,0.00021142
29220,29221,29268,29268,IDN,PT.FORTUNA CIPTA SEJAHTERA, , , ,132/Menhut-II/2006, , ,11163,Indonesia Ministry of Forestry,2014,46295.84413,82f8ee22-9beb-4cd2-bb70-2ee89973130d,0.415879782,0.415879781,0.415879781,0.009008143
29221,29222,29269,29269,IDN,PT.LESTARI DAMAI INDAH Tbr, , , ,133/Menhut-II/2006, , ,11249,Indonesia Ministry of Forestry,2014,47190.57692,2a3722dc-06c0-4107-8206-f8519dde5399,0.423918133,0.423918134,0.423918134,0.009077696
